id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15557857,Rio Verona A,21056474,Roberto,Isole,San Marco,45.43547307650327,12.33354113249132,Entire home/apt,160,3,4,2017-05-01,0.61,10,168
3054747,Few steps from the Rialto Bridge,11561977,Pier,Isole,San Marco,45.4353809689653,12.330225508222593,Entire home/apt,144,2,115,2017-04-24,3.19,4,337
8780208,FEW STEPS FROM SAINT MARK SQUARE,37980909,C.A.M.Ricerche Srl,Isole,San Marco,45.43356567115118,12.335861513749878,Entire home/apt,200,2,128,2017-04-25,7.90,2,4
3664940,San Marco flat,18582003,Elena,Isole,San Marco,45.43436607397391,12.329715390394519,Entire home/apt,100,3,126,2017-05-06,3.82,1,24
3461476,The Sforza House,14112084,Fabio,Isole,San Marco,45.4336758060358,12.328288582292389,Entire home/apt,130,3,68,2017-05-07,2.05,1,124
11858307,"CANAL VIEW, NEAR ST.MARK SQUARE",63205237,Francesca,Isole,San Marco,45.43554773115396,12.337299636737383,Entire home/apt,180,3,80,2017-05-06,6.11,1,287
17841721,San Marco Style with Terrace,104994977,Chicca,Isole,San Marco,45.43347832808828,12.329309014410264,Entire home/apt,147,2,0,,,16,262
1732548,Bright and stylish in top location,8669903,Caterina,Isole,San Marco,45.43251263887892,12.328809956014208,Entire home/apt,160,3,25,2017-05-02,0.58,6,244
7314165,Casa Zucchi | Grand Canal Apartment,35773124,Mariacaterina,Isole,San Marco,45.43278041393965,12.332017815926719,Entire home/apt,370,3,102,2017-05-08,5.53,1,194
167145,Special apartment for loving people,796717,Nicola,Isole,San Marco,45.43405123082016,12.335277840489923,Entire home/apt,140,3,145,2017-04-06,2.08,1,204
6255389,"The Pearl, studio in Venice",32491484,Leone,Isole,San Marco,45.435118281113866,12.332825568632316,Entire home/apt,120,3,130,2017-05-09,5.47,1,244
1054462,San Marco Apartment with Canal View,5530875,Maurizio,Isole,San Marco,45.43292527579707,12.333678373575886,Entire home/apt,98,3,182,2017-05-05,3.73,6,141
3251988,The roof room at St. Mark Square ,16134563,The Venice Views,Isole,San Marco,45.43534200877036,12.335921272792618,Private room,80,3,79,2017-04-24,2.27,5,328
5216448,Calle dei Fuseri,21056474,Roberto,Isole,San Marco,45.43434601019937,12.336074355634086,Entire home/apt,110,3,43,2017-05-01,1.58,10,308
6919352,B&B-Double room share bathroom,17596589,Claudete & Andrea,Isole,San Marco,45.43537400443182,12.333530122092306,Private room,112,1,11,2016-10-21,0.50,3,3
6547548,Romantic flat in San Marco,2227088,Gabriele,Isole,San Marco,45.432549442742314,12.328609755140581,Entire home/apt,125,4,25,2017-04-16,1.09,5,313
80585,CRÈME CARAMEL:BIENNALE AREA & WIFI,334601,Faville Tours,Isole,San Marco,45.43422638930734,12.340194419948372,Entire home/apt,100,2,31,2017-02-12,0.42,70,239
1422473,Appartamento a San Marco,7656598,Oscar,Isole,San Marco,45.43477468126245,12.339165863102723,Entire home/apt,86,2,18,2017-04-09,0.40,1,66
95980,Your Suite by St.-Mark's Square,510349,Roberta,Isole,San Marco,45.432783949785055,12.334942973057109,Entire home/apt,120,2,140,2017-05-07,1.96,2,269
6360811,Only a stone's throw from San Marco,33138225,Tommaso,Isole,San Marco,45.43405695628374,12.334816027775034,Entire home/apt,170,3,100,2017-05-08,4.16,2,289
17311777,SAN MARCO TREASURE,289615,Valentina,Isole,San Marco,45.43373252054685,12.339515706480537,Entire home/apt,90,2,1,2017-04-09,1,46,259
751296,"Palazzo Regina Vittoria, Venice",3873219,Giovanni,Isole,San Marco,45.434880336326664,12.336544047389168,Entire home/apt,185,3,79,2017-05-01,2.92,1,251
15574121,SweetVenice,100322304,Pier Francesco,Isole,San Marco,45.43640236936012,12.335338498820448,Entire home/apt,90,3,15,2017-04-23,2.37,1,32
5757476,Amazing almost IN San Mark square!,12113015,Mario,Isole,San Marco,45.435588513126035,12.338332341146513,Entire home/apt,160,3,37,2017-05-03,1.56,29,334
3438074,"Rialto Pearl,in the heart of Venice",3254530,Laura,Isole,San Marco,45.43636636630733,12.33769652549421,Entire home/apt,188,2,127,2017-04-25,3.81,4,254
689490,Ca' dei Zoti 1 - san Marco,2825961,Carlo E Maria Beatrice,Isole,San Marco,45.433272058004846,12.328202311458046,Entire home/apt,170,1,127,2017-04-23,2.49,2,303
15295568,R. Baretteri - 2 terrace on canal,5618111,EasySuite,Isole,San Marco,45.435800890156386,12.338641577749682,Entire home/apt,145,3,6,2017-04-13,0.94,31,224
1214432,  WI-FI  Attico a S.Marco,6629491,Nicola E Martina,Isole,San Marco,45.43527857380043,12.338153734465758,Entire home/apt,145,3,118,2017-05-02,2.51,1,225
17722114,Next SAN MARCO  square - with balcony,120828895,Massimo,Isole,San Marco,45.43409127741923,12.329970205452728,Entire home/apt,101,1,8,2017-05-01,8,3,134
2283605,Ca 'Garzoni in the heart of Venice ,11663885,Paola,Isole,San Marco,45.43405528250836,12.329304460737344,Entire home/apt,120,3,62,2017-05-08,1.71,1,266
13191891,Romantic room in the heart of San Marco,73840657,Gianluigi,Isole,San Marco,45.43394780070452,12.33520730797061,Private room,100,2,28,2017-04-30,2.70,4,357
17647491,SAN MARCO - Ground floor flat in St. Mark's area,10189388,Raffaella,Isole,San Marco,45.4337324127356,12.328469082846082,Entire home/apt,99,3,0,,,58,213
