listing_id,date
11433320,2016-03-30
11433320,2016-04-26
11433320,2016-05-04
11433320,2016-05-08
11433320,2016-05-16
11433320,2016-06-07
11433320,2016-07-06
11433320,2016-07-12
11433320,2016-07-17
11433320,2016-07-22
11433320,2016-09-11
11433320,2016-09-14
11433320,2016-09-19
11433320,2016-09-22
11433320,2016-10-08
11433320,2016-10-19
11433320,2016-10-23
11433320,2016-10-31
11433320,2017-01-01
11433320,2017-02-26
11433320,2017-04-08
11433320,2017-04-16
11433320,2017-04-19
11516080,2016-05-09
11516080,2016-05-10
11516080,2016-05-17
11516080,2016-05-24
11516080,2016-05-29
11516080,2016-06-01
11516080,2016-06-03
11516080,2016-06-07
11516080,2016-06-18
11516080,2016-06-25
11516080,2016-07-17
11516080,2016-07-27
11516080,2016-08-06
11516080,2016-09-08
11516080,2016-09-11
11516080,2016-09-21
11516080,2016-10-26
11516080,2016-10-31
11516080,2016-11-23
11516080,2017-01-02
11516080,2017-02-20
11516080,2017-02-27
11516080,2017-03-25
11516080,2017-04-02
11516080,2017-04-10
11516080,2017-04-13
11516080,2017-04-15
11516080,2017-04-18
11516080,2017-04-24
11516080,2017-04-30
11516080,2017-05-02
13028592,2017-04-12
13028592,2017-04-18
17510266,2017-03-19
17510266,2017-03-26
17510266,2017-04-02
17510266,2017-04-06
17510266,2017-04-11
17510266,2017-04-13
17510266,2017-04-15
17510266,2017-04-16
17510266,2017-04-21
13217537,2016-06-27
13217537,2016-08-10
13217537,2016-09-11
13217537,2016-09-30
13217537,2016-10-23
13217537,2017-04-06
13217537,2017-04-16
13217537,2017-04-25
13217537,2017-05-01
13217537,2017-05-07
2458454,2014-09-16
2458454,2014-09-22
2458454,2014-09-27
2458454,2014-10-03
2458454,2014-10-06
2458454,2015-06-23
2458454,2015-07-03
2458454,2015-08-01
2458454,2015-08-10
2458454,2015-09-09
2458454,2015-09-16
2458454,2015-09-30
2458454,2015-10-03
2458454,2015-10-06
2458454,2015-10-20
2458454,2015-10-24
2458454,2015-10-30
2458454,2016-05-08
2458454,2016-05-16
2458454,2016-05-27
2458454,2016-06-05
2458454,2016-08-07
2458454,2016-08-10
2458454,2016-09-09
2458454,2016-09-14
2458454,2016-09-24
2458454,2016-09-30
2458454,2017-04-06
2458454,2017-04-10
2458454,2017-04-14
5964545,2015-06-25
5964545,2015-10-04
5964545,2015-12-23
5964545,2016-02-21
5964545,2016-12-18
5964545,2017-02-15
5964545,2017-03-05
17564312,2017-03-09
17564312,2017-04-25
17564312,2017-05-07
16198947,2016-12-31
16198947,2017-01-01
16198947,2017-01-06
16198947,2017-01-07
16198947,2017-01-14
16198947,2017-01-19
16198947,2017-01-22
16198947,2017-01-25
16198947,2017-01-27
16198947,2017-01-29
16198947,2017-02-02
16198947,2017-02-06
16198947,2017-02-18
16198947,2017-02-23
16198947,2017-02-24
16198947,2017-03-04
16198947,2017-03-06
16198947,2017-03-11
16198947,2017-03-13
16198947,2017-03-14
16198947,2017-03-16
16198947,2017-03-18
16198947,2017-03-20
16198947,2017-03-22
16198947,2017-03-25
16198947,2017-03-28
16198947,2017-03-29
16198947,2017-04-01
16198947,2017-04-12
16198947,2017-04-16
16198947,2017-04-18
16198947,2017-04-19
16198947,2017-04-30
16198947,2017-05-03
16198947,2017-05-07
16198947,2017-05-08
2436854,2014-04-09
2436854,2014-06-17
2436854,2014-06-29
2436854,2014-07-04
2436854,2015-05-25
2436854,2015-08-15
2436854,2016-04-17
2436854,2016-05-18
2436854,2016-05-29
2436854,2016-07-19
2436854,2016-08-02
2436854,2016-09-11
2436854,2016-11-01
2436854,2017-04-24
1224263,2015-01-04
1224263,2015-02-01
1224263,2015-02-16
1224263,2015-04-07
1224263,2015-04-27
1224263,2015-05-02
1224263,2015-05-07
1224263,2015-05-15
1224263,2015-05-22
1224263,2015-05-25
1224263,2015-06-06
1224263,2015-06-22
1224263,2015-07-04
1224263,2015-07-11
1224263,2015-07-21
1224263,2015-07-25
1224263,2015-08-08
1224263,2015-08-13
1224263,2015-08-26
1224263,2015-09-08
1224263,2015-09-16
1224263,2015-09-26
1224263,2015-09-30
1224263,2015-10-10
1224263,2015-10-13
1224263,2015-10-18
1224263,2015-10-24
1224263,2015-11-09
1224263,2015-11-15
1224263,2015-11-19
1224263,2015-11-23
1224263,2015-11-29
1224263,2015-12-13
1224263,2015-12-26
1224263,2016-01-27
1224263,2016-01-31
1224263,2016-02-08
1224263,2016-02-12
1224263,2016-02-18
1224263,2016-02-28
1224263,2016-03-06
1224263,2016-03-12
1224263,2016-03-22
1224263,2016-03-25
1224263,2016-03-29
1224263,2016-04-04
1224263,2016-04-06
1224263,2016-04-10
1224263,2016-04-14
1224263,2016-04-18
1224263,2016-04-20
1224263,2016-04-25
1224263,2016-05-04
1224263,2016-05-07
